Name: Lorenzo, Condition: 2, Run: 12, Date: 10/7/2019 11:17:00 AM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
0.02,0,4.375035,17.50014,0.3430333,0.005110651
0.03,0,4.44924,17.79696,0.5210028,0.01032068
0.04,0,4.417681,17.67072,0.6977101,0.01729778
0.05,0,4.276578,17.10631,0.8687732,0.02598551
0.05999999,0,4.024192,16.09677,1.029741,0.03628292
0.06999999,0,3.660875,14.6435,1.176176,0.04804468
0.07999999,0,3.189085,12.75634,1.303739,0.06108207
0.08999999,0,2.613359,10.45343,1.408274,0.07516481
0.09999999,0,1.940252,7.761007,1.485884,0.09002364
0.11,0,1.17823,4.71292,1.533013,0.1053538
0.12,0,0.3375367,1.350147,1.546514,0.1208189
0.13,0,-0.5699781,-2.279912,1.523715,0.1360561
0.14,0,-1.531064,-6.124257,1.462473,0.1506808
0.15,0,-2.53129,-10.12516,1.361221,0.164293
0.16,0,-3.555301,-14.2212,1.219009,0.1764831
0.17,0,-4.587086,-18.34834,1.035526,0.1868383
0.18,0,-5.610249,-22.441,0.8111156,0.1949495
0.19,0,-6.608318,-26.43327,0.5467829,0.2004173
0.2,0,-7.56502,-30.26008,0.2441821,0.2028591
0.21,0,-8.464574,-33.8583,-0.09440084,0.2019151
0.22,0,-9.291985,-37.16794,-0.4660802,0.1972543
0.23,0,-10.03329,-40.13317,-0.8674119,0.1885802
0.24,0,-10.67584,-42.70336,-1.294446,0.1756358
0.25,0,-11.20849,-44.83397,-1.742785,0.1582079
0.26,0,-11.62184,-46.48737,-2.207659,0.1361313
0.27,0,-11.90838,-47.63352,-2.683994,0.1092914
0.28,0,-12.06263,-48.25053,-3.166499,0.0776264
0.29,0,-12.08127,-48.32507,-3.64975,0.0411289
0.3,0,-11.96315,-47.85259,-4.128276,-0.0001538579
0.31,0,-11.70937,-46.83747,-4.596651,-0.04612036
0.32,0,-11.32324,-45.29294,-5.04958,-0.09661616
0.33,0,-10.81021,-43.24085,-5.481988,-0.151436
0.3399999,0,-10.17783,-40.71133,-5.889102,-0.2103271
0.3499999,0,-9.435559,-37.74224,-6.266524,-0.2729923
0.3599999,0,-8.594629,-34.37852,-6.610309,-0.3390954
0.3699999,0,-7.667868,-30.67147,-6.917024,-0.4082656
0.3799999,0,-6.669437,-26.67775,-7.183801,-0.4801036
0.3899999,0,-5.614624,-22.45849,-7.408386,-0.5541875
0.3999999,0,-4.519543,-18.07817,-7.589168,-0.6300792
0.4099999,0,-3.400883,-13.60353,-7.725204,-0.7073312
0.4199999,0,-2.27559,-9.102362,-7.816227,-0.7854934
0.4299999,0,-1.160591,-4.642362,-7.86265,-0.8641199
0.4399998,0.1235839,-0.0724965,0.2043495,-7.860607,-0.942726
0.4499998,0.1235839,0.9726955,4.385118,-7.816755,-1.020894
0.4599998,0.4118099,1.959859,9.486676,-7.721889,-1.098112
0.4699998,0.8865352,2.875019,15.04622,-7.571426,-1.173827
0.4799998,1.074165,3.705569,19.11893,-7.380237,-1.247629
0.4899998,1.230146,4.440506,22.6826,-7.153411,-1.319163
0.4999998,1.392909,5.070591,25.854,-6.894871,-1.388112
0.5099998,1.508199,5.588519,28.38687,-6.611002,-1.454222
0.5199998,1.606535,5.989013,30.38219,-6.30718,-1.517294
0.5299998,1.693568,6.268928,31.84998,-5.98868,-1.577181
0.5399998,1.783992,6.427269,32.84504,-5.66023,-1.633783
0.5499998,1.783992,6.465206,32.99679,-5.330262,-1.687086
0.5599998,1.822422,6.386023,32.83378,-5.001924,-1.737105
0.5699998,1.846158,6.195053,32.16484,-4.680275,-1.783908
0.5799997,1.865373,5.899548,31.05968,-4.369678,-1.827604
0.5899997,1.898152,5.508548,29.6268,-4.073411,-1.868338
0.5999997,1.925279,5.032696,27.8319,-3.795092,-1.906289
0.6099997,1.958057,4.484011,25.76827,-3.537409,-1.941663
0.6199997,1.993097,3.875679,23.4751,-3.302658,-1.97469
0.6299997,2.08126,3.22179,21.2122,-3.090536,-2.005595
0.6399997,2.08126,2.537072,18.47333,-2.905802,-2.034653
0.6499997,2.08126,1.836588,15.67139,-2.749089,-2.062144
0.6599997,2.161511,1.135491,13.18801,-2.617208,-2.088316
0.6699997,2.374007,0.4487189,11.2909,-2.504299,-2.113359
0.6799996,2.479125,-0.2093081,9.079267,-2.413507,-2.137494
0.6899996,2.562767,-0.8249119,6.95142,-2.343992,-2.160934
0.6999996,2.666754,-1.385438,5.125265,-2.29274,-2.183861
0.7099996,2.768481,-1.879484,3.555988,-2.25718,-2.206433
0.7199996,2.978717,-2.297116,2.726401,-2.229916,-2.228732
0.7299996,3.080443,-2.630034,1.801635,-2.2119,-2.250851
0.7399996,3.184431,-2.871731,1.250799,-2.199392,-2.272845
0.7499996,3.184431,-3.017612,0.6672726,-2.192719,-2.294772
0.7599996,3.281636,-3.065064,0.8662891,-2.184056,-2.316613
0.7699996,3.384494,-3.013504,1.48396,-2.169216,-2.338305
0.7799996,3.477178,-2.864379,2.451194,-2.144704,-2.359752
0.7899995,3.554039,-2.621131,3.731629,-2.107388,-2.380826
0.7999995,3.659156,-2.289124,5.480126,-2.052587,-2.401352
0.8099995,3.682892,-1.875536,7.229423,-1.980293,-2.421155
0.8199995,3.697586,-1.389202,9.233537,-1.887957,-2.440034
0.8299995,3.702107,-0.8404642,11.44657,-1.773492,-2.457769
0.8399995,3.702107,-0.240946,13.84465,-1.635045,-2.47412
0.8499995,3.702107,0.396664,16.39509,-1.471094,-2.488831
0.8599995,3.702107,1.05888,19.04395,-1.280655,-2.501637
0.8699995,3.702107,1.731654,21.73504,-1.063304,-2.51227
0.8799995,3.702107,2.400659,24.41106,-0.8191937,-2.520462
0.8899994,3.702107,3.051595,27.01481,-0.5490456,-2.525953
0.8999994,3.702107,3.670428,29.49014,-0.2541441,-2.528494
