Name: Lorenzo, Condition: 2, Run: 11, Date: 10/8/2019 12:10:46 PM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
0.02,0,4.375035,17.50014,0.3430333,0.005110651
0.03,0,4.44924,17.79696,0.5210028,0.01032068
0.04,0,4.417681,17.67072,0.6977101,0.01729778
0.05,0,4.276578,17.10631,0.8687732,0.02598551
0.05999999,0,4.024192,16.09677,1.029741,0.03628292
0.06999999,0,3.660875,14.6435,1.176176,0.04804468
0.07999999,0.03655117,3.189085,12.90254,1.305201,0.06109669
0.08999999,0.2275714,2.613359,11.36372,1.418839,0.07528508
0.09999999,0.4061585,1.940252,9.385641,1.512695,0.09041203
0.11,0.5734425,1.17823,7.00669,1.582762,0.1062396
0.12,0.7271631,0.3375367,4.258799,1.62535,0.1224931
0.13,0.863929,-0.5699781,1.175804,1.637108,0.1388642
0.14,0.9950438,-1.531064,-2.144082,1.615667,0.1550209
0.15,1.111464,-2.53129,-5.679304,1.558874,0.1706097
0.16,1.348827,-3.555301,-8.825896,1.470615,0.1853158
0.17,1.348827,-4.587086,-12.95304,1.341085,0.1987267
0.18,1.470899,-5.610249,-16.5574,1.175511,0.2104818
0.19,1.569235,-6.608318,-20.15633,0.9739476,0.2202212
0.2,1.690177,-7.56502,-23.49937,0.7389539,0.2276108
0.21,1.787383,-8.464574,-26.70877,0.4718663,0.2323294
0.22,1.894761,-9.291985,-29.58889,0.1759773,0.2340892
0.23,1.987445,-10.03329,-32.18339,-0.1458565,0.2326306
0.24,2.089172,-10.67584,-34.34667,-0.4893233,0.2277374
0.25,2.264368,-11.20849,-35.77649,-0.8470882,0.2192665
0.26,2.34688,-11.62184,-37.09985,-1.218087,0.2070857
0.27,2.34688,-11.90838,-38.246,-1.600547,0.1910802
0.28,2.429392,-12.06263,-38.53297,-1.985876,0.1712214
0.29,2.490428,-12.08127,-38.36335,-2.36951,0.1475263
0.3,2.543552,-11.96315,-37.67838,-2.746294,0.1200634
0.31,2.600067,-11.70937,-36.4372,-3.110666,0.08895674
0.32,2.637367,-11.32324,-34.74348,-3.4581,0.05437574
0.33,2.695012,-10.81021,-32.4608,-3.782708,0.01654866
0.3399999,2.717618,-10.17783,-29.84086,-4.081117,-0.02426251
0.3499999,2.721009,-9.435559,-26.8582,-4.349699,-0.0677595
0.3599999,2.733442,-8.594629,-23.44475,-4.584146,-0.113601
0.3699999,2.733442,-7.667868,-19.7377,-4.781524,-0.1614162
0.3799999,2.733442,-6.669437,-15.74398,-4.938963,-0.2108058
0.3899999,2.733442,-5.614624,-11.52473,-5.054211,-0.2613479
0.3999999,2.737963,-4.519543,-7.126321,-5.125474,-0.3126027
0.4099999,2.740224,-3.400883,-2.642636,-5.1519,-0.3641217
0.4199999,2.754917,-2.27559,1.917307,-5.132727,-0.415449
0.4299999,2.760569,-1.160591,6.399915,-5.068728,-0.4661362
0.4399998,2.773002,-0.0724965,10.80202,-4.960708,-0.5157433
0.4499998,2.805781,0.9726955,15.11391,-4.809568,-0.563839
0.4599998,2.834038,1.959859,19.17559,-4.617813,-0.6100171
0.4699998,2.834038,2.875019,22.83623,-4.389451,-0.6539117
0.4799998,2.870208,3.705569,26.30311,-4.12642,-0.6951758
0.4899998,2.925592,4.440506,29.46439,-3.831776,-0.7334936
0.4999998,3.039752,5.070591,32.44138,-3.507362,-0.7685672
0.5099998,3.086095,5.588519,34.69846,-3.160377,-0.800171
0.5199998,3.14374,5.989013,36.53101,-2.795067,-0.8281216
0.5299998,3.193473,6.268928,37.8496,-2.416571,-0.8522873
0.5399998,3.251118,6.427269,38.71355,-2.029436,-0.8725817
0.5499998,3.309894,6.465206,39.1004,-1.638432,-0.888966
0.5599998,3.373191,6.386023,39.03685,-1.248063,-0.9014466
0.5699998,3.373191,6.195053,38.27297,-0.8653334,-0.9100999
0.5799997,3.496393,5.899548,37.58376,-0.4894958,-0.9149949
0.5899997,3.544996,5.508548,36.21418,-0.127354,-0.9162684
0.5999997,3.583426,5.032696,34.46449,0.2172908,-0.9140955
0.6099997,3.601511,4.484011,32.34209,0.5407117,-0.9086884
0.6199997,3.606032,3.875679,29.92684,0.8399801,-0.9002886
0.6299997,3.612813,3.22179,27.33841,1.113364,-0.889155
0.6399997,3.612813,2.537072,24.59954,1.35936,-0.8755614
0.6499997,3.612813,1.836588,21.79761,1.577336,-0.859788
0.6599997,3.612813,1.135491,18.99322,1.767268,-0.8421153
0.6699997,3.612813,0.4487189,16.24613,1.929729,-0.822818
0.6799996,3.612813,-0.2093081,13.61402,2.065869,-0.8021594
0.6899996,3.612813,-0.8249119,11.15161,2.177385,-0.7803855
0.6999996,3.612813,-1.385438,8.909502,2.26648,-0.7577207
0.7099996,3.612813,-1.879484,6.933317,2.335814,-0.7343626
0.7199996,3.612813,-2.297116,5.262789,2.388441,-0.7104782
0.7299996,3.612813,-2.630034,3.931116,2.427752,-0.6862007
0.7399996,3.612813,-2.871731,2.964331,2.457396,-0.6616267
0.7499996,3.612813,-3.017612,2.380804,2.481204,-0.6368147
0.7599996,3.612813,-3.065064,2.190997,2.503114,-0.6117835
0.7699996,3.612813,-3.013504,2.39724,2.527086,-0.5865126
0.7799996,3.612813,-2.864379,2.993736,2.557024,-0.5609424
0.7899995,3.612813,-2.621131,3.966729,2.596691,-0.5349755
0.7999995,3.612813,-2.289124,5.294758,2.649638,-0.5084791
0.8099995,3.612813,-1.875536,6.949108,2.71913,-0.4812878
0.8199995,3.612813,-1.389202,8.894445,2.808074,-0.4532071
0.8299995,3.612813,-0.8404642,11.0894,2.918968,-0.4240174
0.8399995,3.612813,-0.240946,13.48747,3.053843,-0.393479
0.8499995,3.612813,0.396664,16.03791,3.214222,-0.3613368
0.8599995,3.612813,1.05888,18.68678,3.401089,-0.3273259
0.8699995,3.612813,1.731654,21.37787,3.614868,-0.2911772
