Name: 4, Condition: 3, Run: 33, Date: 10/10/2019 2:42:12 PM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
0.02,0.1970532,4.375035,18.28835,0.3509154,0.005189472
0.03,0.1970532,4.44924,18.58517,0.5367671,0.01055714
0.04,0.1970532,4.417681,18.45894,0.7213565,0.01777071
0.05,0.1970532,4.276578,17.89453,0.9003018,0.02677372
0.05999999,0.1970532,4.024192,16.88498,1.069152,0.03746524
0.06999999,0.1970532,3.660875,15.43171,1.223469,0.04969993
0.07999999,0.1970532,3.189085,13.54455,1.358914,0.06328907
0.08999999,0.1970532,2.613359,11.24165,1.471331,0.07800238
0.09999999,0.1970532,1.940252,8.54922,1.556823,0.0935706
0.11,0.1970532,1.17823,5.501132,1.611834,0.1096889
0.12,0.1970532,0.3375367,2.13836,1.633218,0.1260211
0.13,0.1970532,-0.5699781,-1.491699,1.618301,0.1422041
0.14,0.1970532,-1.531064,-5.336044,1.56494,0.1578535
0.15,0.1970532,-2.53129,-9.336948,1.471571,0.1725692
0.16,0.1970532,-3.555301,-13.43299,1.337241,0.1859417
0.17,0.1970532,-4.587086,-17.56013,1.16164,0.197558
0.18,0.1970532,-5.610249,-21.65278,0.9451119,0.2070092
0.19,0.1970532,-6.608318,-25.64506,0.6886613,0.2138958
0.2,0.1970532,-7.56502,-29.47187,0.3939426,0.2178352
0.21,0.1970532,-8.464574,-33.07008,0.06324179,0.2184676
0.22,0.1970532,-9.291985,-36.37973,-0.3005555,0.2154621
0.23,0.1970532,-10.03329,-39.34496,-0.694005,0.208522
0.24,0.1970532,-10.67584,-41.91515,-1.113157,0.1973905
0.25,0.1970532,-11.20849,-44.04575,-1.553614,0.1818543
0.26,0.1970532,-11.62184,-45.69915,-2.010606,0.1617482
0.27,0.1970532,-11.90838,-46.84531,-2.479059,0.1369577
0.28,0.1970532,-12.06263,-47.46232,-2.953682,0.1074208
0.29,0.1970532,-12.08127,-47.53685,-3.42905,0.07313034
0.3,0.1970532,-11.96315,-47.06438,-3.899694,0.0341334
0.31,0.1970532,-11.70937,-46.04926,-4.360187,-0.009468468
0.32,0.1970532,-11.32324,-44.50473,-4.805234,-0.05752081
0.33,0.1970532,-10.81021,-42.45264,-5.22976,-0.1098184
0.3399999,0.1970532,-10.17783,-39.92311,-5.628991,-0.1661083
0.3499999,0.1970532,-9.435559,-36.95403,-5.998531,-0.2260936
0.3599999,0.1970532,-8.594629,-33.59031,-6.334435,-0.2894379
0.3699999,0.1970532,-7.667868,-29.88326,-6.633267,-0.3557706
0.3799999,0.1970532,-6.669437,-25.88953,-6.892162,-0.4246922
0.3899999,0.1970532,-5.614624,-21.67028,-7.108865,-0.4957809
0.3999999,0.1970532,-4.519543,-17.28996,-7.281765,-0.5685985
0.4099999,0.1970532,-3.400883,-12.81532,-7.409918,-0.6426977
0.4199999,0.1970532,-2.27559,-8.314149,-7.49306,-0.7176283
